# T [GeV]  P/T^4
5.20246e-02  1.10543e-01
1.72619e-01  9.41811e-01
1.90981e-01  1.30948e+00
2.05504e-01  1.60516e+00
2.17285e-01  1.82852e+00
2.27251e-01  2.00393e+00
2.35932e-01  2.14662e+00
2.43655e-01  2.26598e+00
2.50636e-01  2.36802e+00
2.57023e-01  2.45677e+00
2.62924e-01  2.53504e+00
2.68418e-01  2.60483e+00
2.73567e-01  2.66767e+00
2.78417e-01  2.72469e+00
2.83007e-01  2.77679e+00
2.87368e-01  2.82466e+00
2.91525e-01  2.86887e+00
2.95500e-01  2.90990e+00
2.99309e-01  2.94812e+00
3.02970e-01  2.98385e+00
3.06494e-01  3.01736e+00
3.09893e-01  3.04889e+00
3.13177e-01  3.07862e+00
3.16355e-01  3.10673e+00
3.19435e-01  3.13337e+00
3.22423e-01  3.15866e+00
3.25326e-01  3.18273e+00
3.28149e-01  3.20566e+00
3.30897e-01  3.22755e+00
3.33575e-01  3.24848e+00
3.36186e-01  3.26852e+00
3.38735e-01  3.28773e+00
3.41225e-01  3.30617e+00
3.43658e-01  3.32390e+00
3.46039e-01  3.34095e+00
3.48369e-01  3.35737e+00
3.50651e-01  3.37320e+00
3.52887e-01  3.38848e+00
3.55080e-01  3.40324e+00
3.57231e-01  3.41751e+00
3.59342e-01  3.43131e+00
3.61414e-01  3.44468e+00
3.63450e-01  3.45763e+00
3.65451e-01  3.47019e+00
3.67418e-01  3.48237e+00
3.69352e-01  3.49420e+00
3.71256e-01  3.50569e+00
3.73129e-01  3.51687e+00
3.74973e-01  3.52773e+00
3.76789e-01  3.53831e+00
3.78578e-01  3.54861e+00
3.80341e-01  3.55864e+00
3.82079e-01  3.56842e+00
3.83793e-01  3.57795e+00
3.85482e-01  3.58725e+00
3.87149e-01  3.59633e+00
3.88794e-01  3.60519e+00
3.90418e-01  3.61385e+00
3.92020e-01  3.62231e+00
3.93603e-01  3.63058e+00
3.95165e-01  3.63867e+00
3.96709e-01  3.64658e+00
3.98234e-01  3.65433e+00
3.99741e-01  3.66191e+00
4.01231e-01  3.66933e+00
4.02703e-01  3.67660e+00
4.04159e-01  3.68372e+00
4.05599e-01  3.69070e+00
4.07023e-01  3.69755e+00
4.08431e-01  3.70426e+00
4.09825e-01  3.71085e+00
4.11204e-01  3.71731e+00
4.12569e-01  3.72365e+00
4.13920e-01  3.72988e+00
4.15257e-01  3.73599e+00
4.16581e-01  3.74200e+00
4.17892e-01  3.74790e+00
4.19190e-01  3.75370e+00
4.20476e-01  3.75939e+00
4.21749e-01  3.76499e+00
4.23011e-01  3.77050e+00
4.24262e-01  3.77592e+00
4.25500e-01  3.78125e+00
4.26728e-01  3.78649e+00
4.27945e-01  3.79165e+00
4.29151e-01  3.79672e+00
4.30347e-01  3.80172e+00
4.31532e-01  3.80664e+00
4.32708e-01  3.81149e+00
4.33874e-01  3.81626e+00
4.35029e-01  3.82096e+00
4.36176e-01  3.82560e+00
4.37313e-01  3.83016e+00
4.38441e-01  3.83466e+00
4.39560e-01  3.83909e+00
4.40671e-01  3.84346e+00
4.41772e-01  3.84777e+00
4.42866e-01  3.85203e+00
4.43951e-01  3.85622e+00
4.45027e-01  3.86035e+00
4.46096e-01  3.86443e+00
4.47157e-01  3.86846e+00
4.48210e-01  3.87243e+00
4.49255e-01  3.87635e+00
4.50293e-01  3.88022e+00
4.51324e-01  3.88404e+00
4.52347e-01  3.88781e+00
4.53363e-01  3.89153e+00
4.54372e-01  3.89521e+00
4.55375e-01  3.89884e+00
4.56370e-01  3.90243e+00
4.57359e-01  3.90597e+00
4.58341e-01  3.90948e+00
4.59317e-01  3.91293e+00
4.60286e-01  3.91635e+00
4.61249e-01  3.91973e+00
4.62206e-01  3.92307e+00
4.63156e-01  3.92637e+00
4.64101e-01  3.92963e+00
4.65040e-01  3.93286e+00
4.65973e-01  3.93605e+00
4.66900e-01  3.93920e+00
4.67821e-01  3.94232e+00
4.68737e-01  3.94541e+00
4.69648e-01  3.94846e+00
4.70553e-01  3.95147e+00
4.71452e-01  3.95446e+00
4.72347e-01  3.95741e+00
4.73236e-01  3.96034e+00
4.74120e-01  3.96323e+00
4.74999e-01  3.96609e+00
4.75872e-01  3.96892e+00
4.76741e-01  3.97173e+00
4.77605e-01  3.97450e+00
4.78465e-01  3.97725e+00
4.79319e-01  3.97997e+00
4.80169e-01  3.98266e+00
4.81014e-01  3.98533e+00
4.81855e-01  3.98797e+00
4.82691e-01  3.99058e+00
4.83522e-01  3.99317e+00
4.84349e-01  3.99573e+00
4.85172e-01  3.99827e+00
4.85991e-01  4.00079e+00
4.86805e-01  4.00328e+00
4.87615e-01  4.00575e+00
